Serial_No,Date(%y-%m-%d),District,Crop,N(kg/ha),P(kg/ha),K(kg/ha),pH,Rainfall(mm),Temperature(°C),Humidity(%),Market_Price(INR/kg),Yield(kg/ha),Total_Market_Price(INR/ha)
267,2025-02-02,Kanyakumari,Groundnut,90,42,46,6.7,753,25,74,133.78,1760.0,235452.8
268,2025-01-23,Krishnagiri,Chickpea,81,58,44,6.8,970,23,86,199.58,3700.0,738446.0
269,2025-01-04,Tirupur,Pumpkin,91,41,80,6.7,1300,33,60,160.05,13770.0,2203888.5
270,2025-01-30,Erode,Tapioca,113,59,92,7.4,1290,25,63,191.41,13890.0,2658684.9
271,2025-01-28,Nagapattinam,Banana,154,106,141,7.0,1305,28,73,24.89,34320.0,854224.8
272,2025-02-11,Perambalur,Cabbage,152,73,120,7.2,942,22,60,121.28,5360.0,650060.8
273,2025-02-18,Thanjavur,Cabbage,129,80,105,6.6,1169,23,58,98.67,4770.0,470655.9
274,2025-01-02,Kanchipuram,Groundnut,67,32,47,6.2,657,23,75,117.52,850.0,99892.0
275,2025-01-22,Villupuram,Tomato,169,96,128,6.8,800,21,56,53.74,8870.0,476673.8
276,2025-01-08,Vellore,Rice,100,68,110,6.8,1464,22,86,79.05,5120.0,404736.0
277,2025-01-21,Tirupur,Chickpea,99,42,44,6.7,672,24,79,169.16,3730.0,630966.8
278,2025-02-03,Tiruvallur,Brinjal,134,52,83,6.0,1032,26,82,125.71,9200.0,1156532.0
279,2025-01-25,Thanjavur,Ginger,98,31,55,7.1,1482,30,67,14.46,5330.0,77071.8
280,2025-01-21,Vellore,Onion,116,66,63,7.3,624,24,63,176.3,18130.0,3196319.0
281,2025-01-23,Ariyalur,Carrot,66,47,66,7.5,817,21,76,194.8,11930.0,2323964.0
282,2025-02-17,Tirupur,Banana,195,110,145,7.4,1591,28,66,67.47,18070.0,1219182.9
283,2025-01-21,Thoothukudi,Watermelon,133,81,101,6.8,1622,34,58,115.95,10450.0,1211677.5
284,2025-01-24,Cuddalore,Apple,149,70,117,6.1,1182,25,52,169.07,10920.0,1846244.4
285,2025-02-04,Kanchipuram,Carrot,74,45,87,6.8,712,18,72,110.54,8300.0,917482.0
286,2025-01-16,Vellore,Cabbage,158,70,119,7.1,1013,22,63,115.89,5710.0,661731.9
287,2025-01-30,Theni,Chili,140,86,92,6.0,955,28,57,75.47,1710.0,129053.7
288,2025-01-01,Namakkal,Maize,158,67,102,6.4,827,30,79,187.05,6080.0,1137264.0
289,2025-01-20,Ooty,Chili,139,75,94,6.1,1123,28,87,12.58,3940.0,49565.2
290,2025-01-08,Madurai,Rice,150,64,100,6.1,1230,23,59,53.8,4790.0,257702.0
291,2025-02-06,Thoothukudi,Carrot,110,61,86,6.9,588,22,69,173.98,10980.0,1910300.4
292,2025-02-12,Virdhunagar,Mango,102,66,105,6.6,1196,30,78,144.62,26140.0,3780366.8
293,2025-01-17,Tiruvallur,Sugarcane,159,74,158,6.5,1921,32,53,192.75,90700.0,17482425.0
294,2025-01-12,Karur,Peas,126,53,100,7.4,637,24,64,191.54,8600.0,1647244.0
295,2025-02-16,Trichy,Wheat,107,52,76,7.4,532,25,54,42.29,3350.0,141671.5
296,2025-02-02,Sivaganga,Apple,157,67,111,7.2,1124,29,65,18.14,8640.0,156729.6
297,2025-02-09,Villupuram,Chickpea,69,36,60,6.5,682,21,62,102.92,2300.0,236716.0
298,2025-01-22,Kanyakumari,Cotton,90,43,89,6.8,938,30,55,146.17,2610.0,381503.7
299,2025-01-04,Virdhunagar,Ginger,70,50,58,6.0,1512,33,77,29.86,7570.0,226040.2
300,2025-02-16,Palladam,Cabbage,159,61,109,6.7,833,18,64,183.03,4820.0,882204.6
301,2025-01-22,Sankagiri,Tomato,120,72,118,7.0,848,21,65,86.62,9580.0,829819.6
302,2025-02-05,Thanjavur,Soybean,108,69,92,7.3,848,24,84,174.18,2090.0,364036.2
303,2025-01-26,Tirunelveli,Lemon,111,62,100,7.3,1117,30,55,188.43,9640.0,1816465.2
304,2025-01-09,Kanchipuram,Tapioca,125,52,84,6.1,1035,29,52,62.25,21900.0,1363275.0
305,2025-02-12,Krishnagiri,Chili,115,90,116,6.4,855,30,82,62.25,2490.0,155002.5
306,2025-01-24,Madurai,Rice,102,64,108,7.4,1015,23,57,37.1,4370.0,162127.0
307,2025-01-28,Madurai,Cauliflower,134,79,94,6.4,866,23,84,26.32,4500.0,118440.0
308,2025-02-18,Nagapattinam,Wheat,86,68,88,7.3,850,20,50,27.69,4870.0,134850.3
309,2025-02-17,Namakkal,Brinjal,120,50,75,7.0,1096,25,63,170.47,8130.0,1385921.1
310,2025-02-09,Thoothukudi,Cabbage,155,74,112,6.9,1042,18,53,198.25,3050.0,604662.5
311,2025-02-08,Coimbatore,Rice,139,60,117,7.4,1453,27,76,36.61,2620.0,95918.2
312,2025-02-06,Erode,Cauliflower,126,62,71,7.4,708,23,81,99.01,4320.0,427723.2
313,2025-01-15,Cuddalore,Cotton,107,70,68,7.3,1097,25,56,173.44,2630.0,456147.2
314,2025-02-17,Ramanathapuram,Lemon,101,58,105,6.7,1489,30,56,51.64,9700.0,500908.0
315,2025-01-21,Villupuram,Soybean,111,62,79,7.5,909,24,68,126.74,2890.0,366278.6
316,2025-01-01,Pudukkottai,Lemon,124,64,75,6.7,1033,30,80,102.33,10170.0,1040696.1
317,2025-02-08,Tirupur,Banana,152,83,144,7.3,1440,33,67,42.12,28780.0,1212213.6
318,2025-01-23,Vellore,Cotton,111,60,63,6.7,700,30,82,56.01,2710.0,151787.1
319,2025-01-15,Cuddalore,Chickpea,96,49,41,6.4,733,22,63,138.6,3650.0,505890.0
320,2025-02-04,Perambalur,Tapioca,94,55,81,6.4,1406,25,76,73.57,16550.0,1217583.5
321,2025-01-11,Perambalur,Cauliflower,133,56,85,6.1,1011,18,51,18.23,5470.0,99718.1
322,2025-01-08,Kallakurichi,Tomato,150,100,103,7.4,887,20,78,50.51,9150.0,462166.5
323,2025-02-05,Dindigul,Rice,133,53,113,6.1,1361,24,85,73.44,3860.0,283478.4
324,2025-01-28,Ariyalur,Watermelon,147,81,100,6.9,1446,32,83,72.84,13050.0,950562.0
325,2025-01-27,Tirunelveli,Watermelon,144,96,136,7.4,1529,31,80,25.78,16900.0,435682.0
326,2025-01-20,Erode,Soybean,91,56,82,7.3,672,27,60,73.16,3240.0,237038.4
327,2025-01-18,Pudukkottai,Tomato,123,82,120,6.6,1044,22,85,198.51,5330.0,1058058.3
328,2025-02-17,Kallakurichi,Carrot,84,53,69,6.9,635,22,60,135.47,10080.0,1365537.6
329,2025-01-12,Krishnagiri,Pumpkin,97,58,76,6.8,1239,28,72,148.22,10770.0,1596329.4
330,2025-01-25,Sivaganga,Wheat,113,43,83,6.7,689,21,57,195.93,4580.0,897359.4
331,2025-01-23,Ramanathapuram,Rice,120,51,82,6.1,1068,25,71,158.94,5260.0,836024.4
332,2025-02-08,Ramanathapuram,Tapioca,107,46,70,7.1,1120,28,59,34.91,16000.0,558560.0
333,2025-01-21,Vellore,Carrot,74,62,79,6.6,619,18,79,91.86,9110.0,836844.6
334,2025-02-06,Thanjavur,Cauliflower,114,50,107,7.2,1119,21,77,34.11,6170.0,210458.7
335,2025-01-01,Tirunelveli,Tomato,168,95,118,7.5,966,22,74,58.65,7020.0,411723.0
336,2025-01-22,Pudukkottai,Tapioca,90,60,89,6.8,1431,25,83,192.58,17990.0,3464514.2
337,2025-02-08,Sankagiri,Pumpkin,96,40,74,6.7,1051,29,84,21.99,16850.0,370531.5
338,2025-01-07,Virdhunagar,Brinjal,110,51,74,7.5,938,25,80,38.26,12770.0,488580.2
339,2025-01-23,Dindigul,Cotton,111,49,94,6.5,725,28,65,158.83,1720.0,273187.6
340,2025-02-11,Nagapattinam,Chickpea,82,60,62,7.2,702,23,71,86.68,4820.0,417797.6
341,2025-02-14,Erode,Pumpkin,97,47,99,6.5,1074,31,58,72.85,12480.0,909168.0
342,2025-01-24,Nagapattinam,Rice,139,56,104,6.0,1069,23,56,16.66,4790.0,79801.4
343,2025-02-16,Krishnagiri,Peas,115,43,66,6.9,1097,20,82,142.16,6660.0,946785.6
344,2025-02-09,Pudukkottai,Soybean,128,47,94,7.2,736,29,55,101.4,2210.0,224094.0
345,2025-01-21,Cuddalore,Wheat,84,55,94,6.6,628,25,74,61.81,3480.0,215098.8
346,2025-02-16,Namakkal,Onion,124,78,73,7.4,989,21,65,162.03,14370.0,2328371.1
347,2025-01-11,Karur,Pumpkin,98,61,93,6.9,1249,29,62,52.04,21880.0,1138635.2
348,2025-02-01,Pudukkottai,Carrot,68,62,55,6.9,692,22,89,107.74,11290.0,1216384.6
349,2025-02-10,Virdhunagar,Lemon,98,71,94,7.0,1481,29,79,119.58,18040.0,2157223.2
350,2025-01-06,Palladam,Cauliflower,136,72,109,6.4,1063,19,89,135.89,6420.0,872413.8
351,2025-01-29,Kallakurichi,Watermelon,160,100,140,6.5,1493,30,52,107.55,15280.0,1643364.0
352,2025-01-14,Tirupur,Cabbage,139,71,91,7.0,1127,20,60,115.14,3890.0,447894.6
353,2025-01-07,Sivaganga,Pumpkin,89,47,76,6.7,1262,29,71,44.51,20090.0,894205.9
354,2025-01-25,Sankagiri,Sugarcane,175,89,154,6.6,1724,29,70,115.99,87220.0,10116647.8
355,2025-01-13,Chennai,Tomato,120,100,127,7.1,1100,25,77,128.72,8670.0,1116002.4
356,2025-02-13,Dindigul,Tomato,152,87,121,7.0,1114,21,52,23.54,9760.0,229750.4
357,2025-02-02,Palladam,Cotton,83,61,69,7.1,1089,28,70,157.86,1930.0,304669.8
358,2025-01-16,Tirunelveli,Cabbage,168,66,115,7.1,1120,19,75,145.41,4660.0,677610.6
359,2025-02-04,Krishnagiri,Chili,115,76,83,6.9,1017,25,78,195.18,3530.0,688985.4
360,2025-02-06,Karur,Banana,151,106,160,6.9,1256,32,88,75.7,27650.0,2093105.0
361,2025-01-28,Tirunelveli,Tomato,139,73,115,6.5,1179,20,72,53.89,7870.0,424114.3
362,2025-01-24,Coimbatore,Cotton,106,50,88,7.2,1062,25,59,68.03,1270.0,86398.1
363,2025-02-17,Namakkal,Groundnut,74,52,74,6.5,639,27,66,157.93,1160.0,183198.8
364,2025-01-09,Chennai,Pumpkin,129,40,72,7.3,1223,28,80,197.43,22000.0,4343460.0
365,2025-01-31,Villupuram,Banana,154,81,146,6.9,1323,31,89,17.62,22230.0,391692.6
366,2025-01-10,Pudukkottai,Mango,149,68,108,6.8,1034,27,75,121.4,27220.0,3304508.0
367,2025-01-27,Tiruvallur,Carrot,70,62,88,7.2,810,19,61,38.48,9720.0,374025.6
368,2025-02-08,Perambalur,Banana,163,100,144,6.5,1426,31,85,55.44,23290.0,1291197.6
369,2025-02-14,Theni,Peas,128,60,96,7.3,1069,22,64,130.57,8180.0,1068062.6
370,2025-01-02,Ariyalur,Mango,116,61,87,7.0,985,25,78,130.64,16720.0,2184300.8
371,2025-02-14,Tiruvannamalai,Lemon,129,57,77,7.1,1354,29,65,135.16,18940.0,2559930.4
372,2025-01-01,Coimbatore,Tomato,155,96,107,7.4,909,20,84,107.22,7540.0,808438.8
373,2025-01-09,Sankagiri,Chili,147,61,109,6.9,1197,27,64,155.22,3540.0,549478.8
374,2025-01-03,Namakkal,Sugarcane,151,82,145,6.8,1727,29,77,172.27,62030.0,10685908.1
375,2025-01-29,Tirupur,Cauliflower,149,68,91,7.4,871,21,65,27.22,4320.0,117590.4
376,2025-02-15,Theni,Cauliflower,103,74,106,6.5,1119,23,60,110.7,6430.0,711801.0
377,2025-01-03,Namakkal,Banana,186,107,140,6.8,1654,32,53,59.82,36670.0,2193599.4
378,2025-01-23,Namakkal,Banana,182,100,135,7.1,1644,29,90,69.38,37160.0,2578160.8
379,2025-02-05,Sankagiri,Apple,125,68,119,6.8,1285,25,82,86.61,9790.0,847911.9
380,2025-01-15,Tiruvallur,Chickpea,93,42,51,6.9,872,24,78,16.57,4650.0,77050.5
381,2025-01-15,Sankagiri,Tapioca,98,56,75,7.2,1046,28,54,34.36,24570.0,844225.2
382,2025-01-10,Ariyalur,Maize,150,79,139,6.6,875,26,74,121.07,5540.0,670727.8
383,2025-02-10,Madurai,Maize,164,62,130,6.8,870,30,52,125.31,6420.0,804490.2
384,2025-01-23,Pudukkottai,Cabbage,134,61,103,7.4,1027,21,88,45.54,4050.0,184437.0
385,2025-02-15,Tiruvallur,Soybean,100,63,78,7.2,817,26,59,153.57,1550.0,238033.5
386,2025-01-31,Krishnagiri,Chickpea,90,47,64,7.0,706,22,51,167.82,3190.0,535345.8
387,2025-01-04,Krishnagiri,Tapioca,100,34,70,6.5,1228,29,55,146.46,27930.0,4090627.8
388,2025-01-23,Erode,Brinjal,97,65,77,6.1,1192,28,77,199.42,14910.0,2973352.2
389,2025-01-04,Tiruvallur,Sugarcane,193,94,128,7.0,1798,29,87,81.11,70750.0,5738532.5
390,2025-01-05,Virdhunagar,Lemon,134,64,86,6.9,1071,30,78,127.99,8570.0,1096874.3
391,2025-02-13,Tiruvannamalai,Pumpkin,105,43,86,6.8,930,32,52,93.35,24090.0,2248801.5
392,2025-02-02,Theni,Chili,149,60,89,6.1,1211,25,87,39.23,2550.0,100036.5
393,2025-01-26,Perambalur,Rice,143,75,111,7.0,1047,26,59,109.8,2520.0,276696.0
394,2025-01-08,Villupuram,Tomato,142,93,106,7.5,808,22,55,183.28,5400.0,989712.0
395,2025-02-01,Theni,Carrot,84,55,59,7.4,725,22,87,74.55,11430.0,852106.5
396,2025-01-31,Virdhunagar,Mango,150,55,84,7.5,990,28,88,168.13,26910.0,4524378.3
397,2025-01-15,Karur,Cabbage,125,67,87,7.3,708,18,56,154.26,3030.0,467407.8
398,2025-02-04,Erode,Sugarcane,159,100,141,6.5,1881,28,88,62.28,85160.0,5303764.8
399,2025-01-28,Kallakurichi,Mango,142,76,90,7.4,1060,29,61,48.26,21870.0,1055446.2
400,2025-01-08,Kallakurichi,Cabbage,121,73,101,6.9,985,18,61,34.79,4110.0,142986.9
401,2025-02-08,Coimbatore,Tapioca,101,40,100,6.1,1172,30,76,176.5,18740.0,3307610.0
402,2025-02-06,Namakkal,Groundnut,85,52,53,6.6,648,26,67,171.9,1540.0,264726.0
403,2025-02-13,Tirupur,Wheat,109,51,61,7.3,543,22,83,32.81,4190.0,137473.9
404,2025-01-31,Thoothukudi,Maize,125,62,115,7.3,958,26,82,20.58,6900.0,142002.0
405,2025-02-10,Ramanathapuram,Chili,115,67,94,6.4,1290,27,76,55.63,2140.0,119048.2
406,2025-02-14,Nagapattinam,Ginger,110,31,72,6.2,1232,29,90,107.64,6450.0,694278.0
407,2025-01-20,Trichy,Chickpea,60,43,54,6.4,992,22,82,181.32,3410.0,618301.2
408,2025-01-03,Tiruvallur,Chickpea,65,35,50,6.6,641,22,75,41.79,2010.0,83997.9
409,2025-01-16,Thoothukudi,Cabbage,157,77,114,6.3,849,18,88,67.54,3840.0,259353.6
410,2025-02-16,Cuddalore,Carrot,92,40,63,6.6,651,21,51,56.99,11820.0,673621.8
411,2025-01-20,Salem,Rice,102,64,83,5.6,1379,22,69,34.77,3690.0,128301.3
412,2025-01-20,Tiruvannamalai,Onion,129,54,91,6.3,804,21,62,46.69,15600.0,728364.0
413,2025-01-01,Madurai,Cabbage,129,82,82,6.1,1082,20,57,92.58,4070.0,376800.6
414,2025-01-27,Krishnagiri,Maize,150,64,104,6.6,990,27,51,75.89,4880.0,370343.2
415,2025-02-13,Tirupur,Brinjal,124,51,76,7.1,996,26,79,72.0,8380.0,603360.0
416,2025-02-01,Coimbatore,Maize,155,89,125,6.5,782,27,73,67.07,4600.0,308522.0
417,2025-02-13,Chennai,Brinjal,136,73,74,6.4,1230,28,53,145.34,7680.0,1116211.2
418,2025-01-19,Ramanathapuram,Cabbage,160,79,113,6.3,846,19,58,160.73,3410.0,548089.3
419,2025-01-16,Ariyalur,Cauliflower,134,76,80,7.1,986,21,80,101.08,5890.0,595361.2
420,2025-02-15,Virdhunagar,Groundnut,73,46,69,6.1,435,27,86,138.75,1260.0,174825.0
421,2025-02-17,Ariyalur,Groundnut,98,34,70,7.3,889,22,84,21.97,1170.0,25704.9
422,2025-01-04,Ooty,Carrot,86,69,67,6.7,730,18,65,160.2,8520.0,1364904.0
423,2025-02-12,Krishnagiri,Ginger,104,38,77,7.1,1345,30,89,121.96,7740.0,943970.4
424,2025-01-19,Ooty,Cotton,81,55,61,7.1,645,29,68,30.63,1310.0,40125.3
425,2025-01-04,Tiruvallur,Tomato,139,76,140,7.4,1005,21,69,62.84,9170.0,576242.8
426,2025-02-07,Nagapattinam,Chickpea,74,49,55,7.3,757,21,82,168.34,2750.0,462935.0
427,2025-02-15,Sivaganga,Lemon,114,77,92,7.3,1184,26,53,174.54,14230.0,2483704.2
428,2025-01-01,Theni,Onion,104,75,68,7.0,621,23,90,22.02,13890.0,305857.8
429,2025-01-07,Pudukkottai,Cabbage,161,75,98,6.3,947,18,60,154.78,3410.0,527799.8
430,2025-01-25,Palladam,Cauliflower,146,62,72,6.3,944,19,80,195.58,7200.0,1408176.0
431,2025-02-01,Tiruvannamalai,Rice,102,59,88,7.3,1141,22,85,108.56,4960.0,538457.6
432,2025-01-15,Villupuram,Tapioca,101,57,63,6.5,1261,30,54,41.86,27970.0,1170824.2
433,2025-01-26,Thoothukudi,Chili,144,77,94,6.0,965,27,81,119.24,3250.0,387530.0
434,2025-01-16,Ariyalur,Peas,116,64,87,6.9,945,21,88,157.83,7390.0,1166363.7
435,2025-02-11,Thoothukudi,Peas,119,40,92,7.3,927,20,74,51.1,8580.0,438438.0
436,2025-02-15,Villupuram,Cauliflower,101,62,83,7.5,945,18,73,119.57,5150.0,615785.5
437,2025-01-02,Pudukkottai,Groundnut,96,35,50,6.3,845,25,90,143.1,940.0,134514.0
438,2025-01-19,Trichy,Pumpkin,113,52,61,7.1,1005,29,77,172.24,12180.0,2097883.2
439,2025-02-14,Nagapattinam,Banana,161,88,151,6.7,1699,28,74,112.33,37950.0,4262923.5
440,2025-02-08,Palladam,Rice,143,62,88,7.3,1263,25,77,79.05,2450.0,193672.5
441,2025-01-22,Tiruvallur,Cotton,123,47,68,7.5,756,25,81,52.56,1070.0,56239.2
442,2025-01-01,Salem,Rice,101,79,98,7.0,1436,27,79,164.3,2920.0,479756.0
443,2025-01-07,Tiruvallur,Cauliflower,121,67,105,6.9,1136,22,53,108.74,4150.0,451271.0
444,2025-01-03,Nagapattinam,Carrot,91,46,65,6.8,703,22,55,182.26,9090.0,1656743.4
445,2025-02-18,Ramanathapuram,Rice,104,70,117,6.8,1318,22,57,199.53,5380.0,1073471.4
446,2025-02-01,Kanchipuram,Cauliflower,150,60,93,6.1,851,23,82,143.37,5990.0,858786.3
447,2025-01-02,Dindigul,Wheat,86,46,69,6.5,820,25,72,78.72,3430.0,270009.6
448,2025-01-01,Chennai,Apple,122,87,130,6.9,875,26,62,71.56,7600.0,543856.0
449,2025-02-11,Madurai,Maize,144,61,117,6.9,1036,28,70,128.37,6460.0,829270.2
450,2025-02-17,Tirupur,Lemon,109,73,102,7.1,1171,29,70,121.62,14760.0,1795111.2
451,2025-01-23,Villupuram,Rice,140,57,113,6.1,1357,26,55,150.88,4120.0,621625.6
452,2025-01-11,Kallakurichi,Tapioca,82,49,62,7.4,1448,25,87,61.05,16360.0,998778.0
453,2025-01-09,Tirunelveli,Banana,179,93,147,6.5,1584,28,66,142.87,25990.0,3713191.3
454,2025-01-31,Krishnagiri,Apple,113,85,111,7.4,816,30,83,93.84,6570.0,616528.8
455,2025-02-06,Thanjavur,Banana,194,102,124,6.5,1307,29,53,55.59,21960.0,1220756.4
456,2025-01-16,Ooty,Pumpkin,89,64,75,6.2,901,32,72,148.68,20250.0,3010770.0
457,2025-02-06,Salem,Chili,123,83,112,7.1,1170,26,81,63.55,3610.0,229415.5
458,2025-01-27,Kallakurichi,Tapioca,113,30,72,6.0,1356,28,85,30.4,12360.0,375744.0
459,2025-02-18,Ariyalur,Brinjal,102,56,93,6.4,916,26,51,34.5,8440.0,291180.0
460,2025-01-22,Ramanathapuram,Tomato,148,82,132,6.7,950,25,57,15.2,7270.0,110504.0
461,2025-01-01,Sivaganga,Sugarcane,171,85,145,7.1,1644,33,88,169.64,83150.0,14105566.0
462,2025-01-15,Sivaganga,Peas,127,43,90,6.8,648,20,53,158.24,6330.0,1001659.2
463,2025-01-19,Vellore,Lemon,131,58,97,6.6,1130,25,85,110.08,10600.0,1166848.0
464,2025-01-11,Perambalur,Tapioca,123,34,79,6.3,1347,27,51,26.78,17320.0,463829.6
465,2025-01-12,Ariyalur,Carrot,107,62,84,7.1,758,19,81,171.08,8690.0,1486685.2
466,2025-01-28,Erode,Cauliflower,138,70,107,6.2,1165,19,68,37.98,4220.0,160275.6
467,2025-01-16,Ramanathapuram,Brinjal,100,55,73,7.1,924,27,54,67.48,11750.0,792890.0
468,2025-02-05,Virdhunagar,Apple,135,89,123,7.3,1089,29,72,66.88,11790.0,788515.2
469,2025-02-07,Krishnagiri,Tomato,170,77,139,6.7,859,23,64,141.06,7250.0,1022685.0
470,2025-01-03,Coimbatore,Groundnut,57,59,58,6.6,662,24,56,29.26,1530.0,44767.8
471,2025-01-30,Kanyakumari,Chili,113,64,95,7.5,1285,25,71,60.68,1670.0,101335.6
472,2025-02-12,Ramanathapuram,Groundnut,88,55,80,6.8,512,27,61,98.47,970.0,95515.9
473,2025-01-24,Sankagiri,Carrot,87,63,54,6.9,893,22,66,73.9,11640.0,860196.0
474,2025-01-15,Krishnagiri,Onion,126,68,84,6.8,1044,22,81,78.93,10210.0,805875.3
475,2025-02-09,Vellore,Sugarcane,190,93,139,7.3,1692,32,78,149.13,83340.0,12428494.2
476,2025-01-15,Ooty,Pumpkin,101,46,94,6.9,883,28,84,17.45,15060.0,262797.0
477,2025-02-08,Tiruvannamalai,Chili,129,72,108,6.0,1210,25,90,87.16,3850.0,335566.0
478,2025-01-23,Cuddalore,Brinjal,133,51,66,7.1,1298,30,74,198.61,9370.0,1860975.7
479,2025-01-11,Coimbatore,Cauliflower,149,79,80,7.0,1124,19,61,14.3,4820.0,68926.0
480,2025-01-03,Thoothukudi,Cauliflower,108,51,101,6.8,1107,21,86,42.86,7680.0,329164.8
481,2025-01-12,Thanjavur,Ginger,108,36,57,6.6,1491,29,57,120.89,7980.0,964702.2
482,2025-02-11,Cuddalore,Peas,90,62,77,7.1,1059,25,54,167.88,7310.0,1227202.8
483,2025-02-10,Namakkal,Tomato,142,85,107,7.1,968,25,63,53.49,5660.0,302753.4
484,2025-02-10,Virdhunagar,Sugarcane,187,96,138,7.0,1536,29,54,102.55,56260.0,5769463.0
485,2025-01-12,Dindigul,Peas,99,64,96,7.0,729,25,55,28.22,9780.0,275991.6
486,2025-01-11,Trichy,Onion,102,80,63,6.2,707,25,64,47.2,18660.0,880752.0
487,2025-01-20,Dindigul,Banana,177,97,152,7.1,1476,31,79,110.96,14320.0,1588947.2
488,2025-01-25,Virdhunagar,Mango,119,54,94,6.8,962,25,73,127.76,13050.0,1667268.0
489,2025-01-15,Kanchipuram,Peas,129,65,76,7.4,647,25,79,186.62,9580.0,1787819.6
490,2025-02-03,Thoothukudi,Cotton,102,70,80,6.9,848,28,53,58.5,1370.0,80145.0
491,2025-01-31,Salem,Wheat,104,42,98,7.5,623,25,67,66.22,4360.0,288719.2
492,2025-01-26,Dindigul,Peas,123,46,98,6.4,890,20,56,194.46,4570.0,888682.2
493,2025-02-08,Karur,Onion,93,58,63,7.3,861,22,84,151.77,12230.0,1856147.1
494,2025-02-12,Coimbatore,Groundnut,51,51,77,6.3,738,27,66,136.48,1160.0,158316.8
495,2025-01-13,Tirunelveli,Lemon,124,73,103,7.5,1221,30,70,34.96,19540.0,683118.4
496,2025-01-25,Namakkal,Soybean,128,49,84,6.9,748,28,67,51.46,1660.0,85423.6
497,2025-02-01,Palladam,Chili,139,67,101,6.6,1224,28,81,131.71,2170.0,285810.7
498,2025-01-11,Ooty,Rice,133,56,104,6.1,1132,22,50,44.33,4720.0,209237.6
499,2025-01-15,Kallakurichi,Ginger,95,58,75,6.7,1584,28,68,169.79,7400.0,1256446.0
500,2025-02-15,Ramanathapuram,Cotton,94,42,72,7.1,990,26,85,53.2,2100.0,111720.0
501,2025-01-04,Kallakurichi,Banana,151,83,146,7.5,1341,32,53,111.16,30420.0,3381487.2
502,2025-02-16,Karur,Mango,144,64,100,7.2,916,26,50,52.85,24250.0,1281612.5
503,2025-01-11,Nagapattinam,Cabbage,149,63,102,7.3,1100,22,69,144.41,4200.0,606522.0
504,2025-01-25,Kanchipuram,Lemon,136,55,92,6.8,1389,27,71,34.52,12180.0,420453.6
505,2025-01-26,Theni,Brinjal,115,56,98,6.8,1011,28,78,86.87,14230.0,1236160.1
506,2025-02-03,Karur,Tapioca,130,40,68,6.0,1141,25,89,138.18,25450.0,3516681.0
507,2025-01-27,Madurai,Banana,190,102,156,7.0,1323,28,80,90.07,20380.0,1835626.6
508,2025-01-19,Thoothukudi,Maize,167,79,107,6.8,1166,26,78,75.02,7260.0,544645.2
509,2025-02-15,Tirunelveli,Ginger,72,41,75,6.2,1498,33,73,182.47,5130.0,936071.1
510,2025-01-03,Villupuram,Groundnut,73,48,52,7.1,636,25,77,144.54,1300.0,187902.0
511,2025-02-03,Tirunelveli,Tapioca,112,42,67,7.4,1420,26,63,60.41,11510.0,695319.1
512,2025-01-21,Villupuram,Apple,143,83,108,6.8,1171,25,83,102.58,9480.0,972458.4
513,2025-01-07,Thanjavur,Pumpkin,96,41,97,7.5,1167,31,76,29.54,14300.0,422422.0
514,2025-02-09,Tirupur,Groundnut,61,42,48,7.3,690,26,63,119.65,970.0,116060.5
515,2025-01-14,Thanjavur,Pumpkin,80,48,73,6.6,1283,30,53,83.44,18570.0,1549480.8
516,2025-01-24,Karur,Onion,96,73,100,6.4,895,22,56,153.41,11500.0,1764215.0
517,2025-01-30,Villupuram,Brinjal,138,59,84,7.4,1029,26,68,48.96,10880.0,532684.8
518,2025-01-09,Tirupur,Tapioca,82,52,71,7.5,1279,25,67,171.2,17680.0,3026816.0
519,2025-01-02,Perambalur,Cabbage,125,78,99,6.2,739,20,58,141.96,4230.0,600490.8
520,2025-02-13,Pudukkottai,Peas,121,66,91,7.5,765,24,59,113.12,8330.0,942289.6
521,2025-01-17,Pudukkottai,Onion,130,79,79,6.3,617,20,50,11.66,15200.0,177232.0
522,2025-01-29,Ooty,Pumpkin,103,61,67,6.9,1219,31,71,171.69,17860.0,3066383.4
523,2025-01-27,Kanchipuram,Watermelon,139,81,138,6.8,1253,35,84,49.23,10890.0,536114.7
524,2025-01-21,Coimbatore,Banana,167,103,122,6.9,1418,29,55,84.17,21590.0,1817230.3
525,2025-01-09,Perambalur,Chickpea,109,47,60,7.4,848,20,74,104.82,4710.0,493702.2
526,2025-01-17,Erode,Rice,118,66,115,6.2,1098,26,83,113.7,3390.0,385443.0
527,2025-01-17,Tirunelveli,Tomato,125,80,139,6.9,1134,20,63,105.3,5650.0,594945.0
528,2025-02-04,Dindigul,Banana,168,87,158,7.2,1285,28,84,138.39,26110.0,3613362.9
529,2025-01-15,Krishnagiri,Mango,128,53,87,7.4,857,27,84,118.83,18840.0,2238757.2
530,2025-01-06,Madurai,Maize,153,74,104,7.1,1155,25,54,47.79,4930.0,235604.7
531,2025-02-09,Karur,Onion,93,74,93,7.0,947,23,53,33.41,18590.0,621091.9
532,2025-02-14,Madurai,Onion,94,53,95,6.3,767,23,57,88.31,10080.0,890164.8
533,2025-02-02,Kallakurichi,Cotton,98,55,68,6.7,933,29,62,37.08,1730.0,64148.4
534,2025-02-13,Thanjavur,Watermelon,165,100,107,6.9,1700,30,87,185.01,14750.0,2728897.5
